Description,Quantity,Revenue,Orders
 4 PURPLE FLOCK DINNER CANDLES,140,270.76,36
 50'S CHRISTMAS GIFT BAG LARGE,1885,2272.25,109
 DOLLY GIRL BEAKER,2398,2759.5,133
 I LOVE LONDON MINI BACKPACK,360,1454.0,68
 I LOVE LONDON MINI RUCKSACK,1,4.15,1
 NINE DRAWER OFFICE TIDY,55,792.8499999999999,30
 OVAL WALL MIRROR DIAMANTE ,121,1059.95,58
 RED SPOT GIFT BAG LARGE,1700,2041.0,92
 SET 2 TEA TOWELS I LOVE LONDON ,2627,7208.95,192
 SPACEBOY BABY GIFT SET,450,7065.499999999999,142
 TOADSTOOL BEDSIDE LIGHT ,2,17.9,1
 TRELLIS COAT RACK,217,1016.5500000000001,46
10 COLOUR SPACEBOY PEN,6267,5209.17,242
12 COLOURED PARTY BALLOONS,2110,1373.3,139
12 DAISY PEGS IN WOOD BOX,327,539.55,62
12 EGG HOUSE PAINTED WOOD,111,1425.27,64
12 HANGING EGGS HAND PAINTED,42,87.36,7
12 IVORY ROSE PEG PLACE SETTINGS,749,936.25,91
12 MESSAGE CARDS WITH ENVELOPES,1628,2590.2,187
12 PENCIL SMALL TUBE WOODLAND,4007,2551.15,276
12 PENCILS SMALL TUBE RED RETROSPOT,6400,4101.200000000001,307
12 PENCILS SMALL TUBE SKULL,6734,4235.1,291
12 PENCILS TALL TUBE POSY,3809,1169.0099999999998,167
12 PENCILS TALL TUBE RED RETROSPOT,2652,2247.96,234
12 PENCILS TALL TUBE SKULLS,2019,1709.9099999999999,215
12 PENCILS TALL TUBE WOODLAND,1851,1573.35,208
12 PINK HEN+CHICKS IN BASKET,41,104.55,14
12 PINK ROSE PEG PLACE SETTINGS,214,267.5,21
12 RED ROSE PEG PLACE SETTINGS,400,500.0,75
15 PINK FLUFFY CHICKS IN BOX,10,29.5,7
15CM CHRISTMAS GLASS BALL 20 LIGHTS,1266,9374.7,214
16 PC CUTLERY SET PANTRY DESIGN,4,63.8,1
16 PIECE CUTLERY SET PANTRY DESIGN,210,3018.2999999999997,46
18PC WOODEN CUTLERY SET DISPOSABLE,503,595.15,24
2 DAISIES HAIR COMB,6,17.700000000000003,1
2 PICTURE BOOK EGGS EASTER BUNNY,158,197.5,19
2 PICTURE BOOK EGGS EASTER CHICKS,161,201.25,19
2 PICTURE BOOK EGGS EASTER DUCKS,115,143.75,16
20 DOLLY PEGS RETROSPOT,2368,3048.2,182
200 BENDY SKULL STRAWS,638,706.3000000000001,41
200 RED + WHITE BENDY STRAWS,761,914.77,119
3 BIRDS CANVAS SCREEN,2,2.04,2
3 BLACK CATS W HEARTS BLANK CARD,24,4.5600000000000005,3
3 DRAWER ANTIQUE WHITE WOOD CABINET,715,6195.73,186
3 GARDENIA MORRIS BOXED CANDLES,492,844.04,67
3 HEARTS HANGING DECORATION RUSTIC,2895,8161.21,261
3 HOOK HANGER MAGIC GARDEN,1617,2915.5499999999997,94
3 HOOK PHOTO SHELF ANTIQUE WHITE,1723,12294.380000000001,304
3 PIECE SPACEBOY COOKIE CUTTER SET,2514,5034.64,296
3 PINK HEN+CHICKS IN BASKET,12,15.0,6
3 RAFFIA RIBBONS 50'S CHRISTMAS ,1792,1632.4,134
3 RAFFIA RIBBONS VINTAGE CHRISTMAS,679,608.65,44
3 ROSE MORRIS BOXED CANDLES,1072,1560.64,131
3 STRIPEY MICE FELTCRAFT,2923,5478.05,402
3 TIER CAKE TIN GREEN AND CREAM,364,4954.5599999999995,136
3 TIER CAKE TIN RED AND CREAM,652,8737.78,136
3 TIER SWEETHEART GARDEN SHELF,55,1938.2500000000002,43
3 TRADITIONAL COOKIE CUTTERS  SET,162,304.20000000000005,4
3 TRADITIONAl BISCUIT CUTTERS  SET,1156,2422.2200000000003,202
3 WHITE CHOC MORRIS BOXED CANDLES,884,1362.44,90
3 WICK CHRISTMAS BRIAR CANDLE ,2,7.5,1
36 DOILIES DOLLY GIRL,905,1312.25,74
36 DOILIES VINTAGE CHRISTMAS,5153,7006.25,160
36 FOIL HEART CAKE CASES,2003,3823.5600000000004,170
36 FOIL STAR CAKE CASES ,1005,1929.14,106
36 PENCILS TUBE POSY,27,33.75,11
36 PENCILS TUBE RED RETROSPOT,3523,4233.51,230
36 PENCILS TUBE SKULLS,1631,2014.43,179
36 PENCILS TUBE WOODLAND,1597,1971.93,142
3D CHRISTMAS STAMPS STICKERS ,1075,1361.95,105
3D DOG PICTURE PLAYING CARDS,293,864.35,60
3D HEARTS  HONEYCOMB PAPER GARLAND,294,838.5000000000001,33
3D SHEET OF CAT STICKERS,216,183.6,43
3D SHEET OF DOG STICKERS,272,231.98,42
3D TRADITIONAL CHRISTMAS STICKERS,1471,1882.31,141
3D VINTAGE CHRISTMAS STICKERS ,1522,1930.38,126
4 BLUE DINNER CANDLES SILVER FLOCK,86,219.29999999999998,29
4 BURGUNDY WINE DINNER CANDLES,55,68.75,11
4 IVORY DINNER CANDLES SILVER FLOCK,453,921.39,96
4 LAVENDER BOTANICAL DINNER CANDLES,840,1195.0,100
4 LILY  BOTANICAL DINNER CANDLES,473,851.75,76
4 PEAR BOTANICAL DINNER CANDLES,755,1093.75,104
4 PINK DINNER CANDLE SILVER FLOCK,126,235.06,30
4 PINK FLOCK CHRISTMAS BALLS,37,46.25,11
4 ROSE PINK DINNER CANDLES,138,163.38,14
4 SKY BLUE DINNER CANDLES,58,72.5,12
4 TRADITIONAL SPINNING TOPS,4491,5960.08,364
4 VANILLA BOTANICAL CANDLES,900,1252.5,121
4 WILDFLOWER BOTANICAL CANDLES,303,473.75,51
5 HOOK HANGER MAGIC TOADSTOOL,631,964.3499999999999,27
5 HOOK HANGER RED MAGIC TOADSTOOL,3055,4596.75,108
5 STRAND GLASS NECKLACE AMBER,2,12.7,2
5 STRAND GLASS NECKLACE AMETHYST,2,12.7,1
5 STRAND GLASS NECKLACE BLACK,8,50.8,3
5 STRAND GLASS NECKLACE CRYSTAL,17,107.94999999999999,7
50'S CHRISTMAS PAPER GIFT BAG,1327,1068.1399999999999,88
50CM METAL STRING WITH  7 CLIPS,222,164.22,19
6 CHOCOLATE LOVE HEART T-LIGHTS,1018,1994.2600000000002,110
6 EGG HOUSE PAINTED WOOD,258,2058.94,117
6 GIFT TAGS 50'S CHRISTMAS ,3346,2753.4199999999996,261
6 GIFT TAGS VINTAGE CHRISTMAS ,3735,3076.2899999999995,253
6 RIBBONS ELEGANT CHRISTMAS ,1565,2019.2299999999998,120
6 RIBBONS EMPIRE  ,1035,1304.37,113
6 RIBBONS RUSTIC CHARM,8605,14988.589999999998,726
6 RIBBONS SHIMMERING PINKS ,1001,774.5899999999999,75
6 ROCKET BALLOONS ,1768,1176.8000000000002,156
60 CAKE CASES DOLLY GIRL DESIGN,7247,3755.4100000000003,354
60 CAKE CASES VINTAGE CHRISTMAS,14735,7417.85,466
60 GOLD AND SILVER FAIRY CAKE CASES,2,1.1,2
60 TEATIME FAIRY CAKE CASES,17689,8618.37,657
6PC WOOD PLATE SET DISPOSABLE,405,443.25,16
70'S ALPHABET WALL ART,150,1043.1,15
72 CAKE CASES VINTAGE CHRISTMAS,24,13.200000000000001,1
72 SWEETHEART FAIRY CAKE CASES,13070,6274.900000000001,501
75 BLACK PETIT FOUR CASES,57,23.94,17
75 GREEN FAIRY CAKE CASES,28,15.400000000000002,17
75 GREEN PETIT FOUR CASES,305,128.1,33
A PRETTY THANK YOU CARD,438,179.64,26
A4 WALL TIDY BLUE OFFICE,114,61.86000000000001,5
A4 WALL TIDY RED FLOWERS,13,7.37,4
ABC TREASURE BOOK BOX ,2090,4377.76,186
ABSTRACT CIRCLE JOURNAL ,108,259.2,28
ABSTRACT CIRCLES POCKET BOOK,161,136.85,41
ABSTRACT CIRCLES SKETCHBOOK ,128,491.13,60
ACRYLIC GEOMETRIC LAMP,12,221.39999999999998,9
"ACRYLIC HANGING JEWEL,BLUE",268,101.84,22
"ACRYLIC HANGING JEWEL,PINK",95,66.55,7
"ACRYLIC JEWEL ANGEL,PINK",78,29.64,2
"ACRYLIC JEWEL ICICLE, BLUE",31,11.780000000000001,3
"ACRYLIC JEWEL ICICLE, PINK",264,100.32000000000001,17
"ACRYLIC JEWEL SNOWFLAKE, PINK",162,63.28000000000001,5
"ACRYLIC JEWEL SNOWFLAKE,PINK",6,15.299999999999999,1
ADULT APRON APPLE DELIGHT,180,896.88,40
ADVENT CALENDAR GINGHAM SACK,836,4787.68,166
AFGHAN SLIPPER SOCK PAIR,511,1662.95,19
AGED GLASS SILVER T-LIGHT HOLDER,10088,6083.200000000001,277
AIRLINE BAG VINTAGE JET SET BROWN,253,1056.05,96
AIRLINE BAG VINTAGE JET SET RED,448,1882.8400000000001,156
AIRLINE BAG VINTAGE JET SET WHITE,193,820.69,82
AIRLINE BAG VINTAGE TOKYO 78,830,3489.88,247
AIRLINE BAG VINTAGE WORLD CHAMPION ,221,935.33,101
"AIRLINE LOUNGE,METAL SIGN",497,1011.4100000000001,149
ALARM CLOCK BAKELIKE CHOCOLATE,1776,6574.26,322
ALARM CLOCK BAKELIKE GREEN,5641,20880.4,789
ALARM CLOCK BAKELIKE IVORY,2728,10285.61,468
ALARM CLOCK BAKELIKE ORANGE,2182,7995.63,359
ALARM CLOCK BAKELIKE PINK,5074,18569.09,613
ALARM CLOCK BAKELIKE RED ,7221,25925.2,877
ALPHABET HEARTS STICKER SHEET,371,315.34999999999997,38
ALPHABET STENCIL CRAFT,2673,3005.44,165
ALUMINIUM HEART,30,74.7,6
ALUMINIUM STAMPED HEART,775,1862.5100000000002,124
AMBER BERTIE GLASS BEAD BAG CHARM,1,2.1,1
AMBER CHUNKY BEAD BRACELET W STRAP,8,71.6,4
AMBER CHUNKY GLASS+BEAD NECKLACE,6,71.69999999999999,6
AMBER DIAMANTE EXPANDABLE RING,22,93.5,5
AMBER DROP EARRINGS W LONG BEADS,20,59.00000000000001,5
AMBER FINE BEAD NECKLACE W TASSEL,3,17.85,2
AMBER GLASS TASSLE BAG CHARM,8,23.6,2
AMBER GLASS/SHELL/PEARL NECKLACE,1,8.95,1
AMBER GLASS/SILVER BRACELET,10,89.5,7
AMETHYST CHUNKY BEAD BRACELET W STR,21,187.95,11
AMETHYST DIAMANTE EXPANDABLE RING,13,55.25,3
AMETHYST HOOP EARRING FLORAL LEAF,5,14.75,3
ANGEL DECORATION 3 BUTTONS ,3532,1457.52,111
ANGEL DECORATION PAINTED ZINC ,635,383.95000000000005,26
ANGEL DECORATION STARS ON DRESS,2459,1012.62,86
ANGEL DECORATION WITH LACE PADDED,212,180.2,11
ANIMAL STICKERS,1773,372.33,46
ANIMALS AND NATURE WALL ART,267,923.97,17
ANT COPPER LIME BOUDICCA BRACELET,45,222.75,15
ANT COPPER PINK BOUDICCA BRACELET,31,153.45000000000002,9
ANT COPPER RED BOUDICCA BRACELET,9,44.550000000000004,6
ANT COPPER TURQ BOUDICCA BRACELET,45,222.75,12
ANT SILVER FUSCHIA BOUDICCA RING,14,41.300000000000004,7
ANT SILVER LIME GREEN BOUDICCA RING,27,79.65,10
ANT SILVER PURPLE BOUDICCA RING,10,29.500000000000004,5
ANT SILVER TURQUOISE BOUDICCA RING,6,17.700000000000003,1
ANT WHITE WIRE HEART SPIRAL,286,1076.66,64
ANTIQUE ALL GLASS CANDLESTICK,567,1133.3000000000002,80
ANTIQUE CREAM CUTLERY CUPBOARD,14,178.5,13
ANTIQUE CREAM CUTLERY SHELF ,28,238.0,18
ANTIQUE GLASS DRESSING TABLE POT,1643,4687.01,188
ANTIQUE GLASS HEART DECORATION ,296,577.1999999999999,26
ANTIQUE GLASS PEDESTAL BOWL,890,3223.35,159
ANTIQUE GLASS PLACE SETTING,122,152.5,8
ANTIQUE HEART SHELF UNIT,267,3879.15,68
ANTIQUE IVORY WIRE BOWL SMALL,97,241.53000000000003,19
ANTIQUE MID BLUE FLOWER EARRINGS,4,17.0,2
ANTIQUE OLIVE GREEN FLOWER EARRINGS,5,21.25,3
ANTIQUE OPAL WHITE FLOWER EARRINGS,2,8.5,2
ANTIQUE RASPBERRY FLOWER EARRINGS,2,8.5,1
ANTIQUE SILVER BAUBLE LAMP  ,374,3489.7000000000003,72
ANTIQUE SILVER T-LIGHT GLASS,12973,15206.42,534
ANTIQUE SILVER TEA GLASS ENGRAVED,8273,9339.34,278
ANTIQUE SILVER TEA GLASS ETCHED,3500,4033.0,143
ANTIQUE TALL SWIRLGLASS TRINKET POT,765,2817.13,138
APOTHECARY MEASURING JAR,64,751.4000000000001,21
APPLE BATH SPONGE,1102,1400.49,122
APRON APPLE DELIGHT,268,1291.6000000000001,62
APRON MODERN VINTAGE COTTON,443,931.8499999999999,57
AQUA BERTIE GLASS BEAD BAG CHARM,19,24.9,3
AREA PATROLLED METAL SIGN,4290,8552.220000000001,374
ARMY CAMO BOOKCOVER TAPE,17,7.14,4
"ART LIGHTS,FUNK MONKEY",355,950.45,47
ASS COL CIRCLE MOBILE ,474,173.15999999999997,6
ASS COL LARGE SAND FROG P'WEIGHT,27,28.35,7
ASS COL SMALL SAND GECKO P'WEIGHT,29,12.18,9
ASS COLOUR GLOWING TIARAS,280,212.79999999999998,24
ASS DES PHONE SPONGE CRAFT STICKER,511,154.39,14
ASS FLORAL PRINT MULTI SCREWDRIVER,2754,1261.69,161
ASS FLORAL PRINT SPIRIT LEVEL ,96,92.08,32
ASSORTED BOTTLE TOP  MAGNETS ,2928,1104.36,133
ASSORTED CAKES FRIDGE MAGNETS,55,35.75,8
ASSORTED CHEESE FRIDGE MAGNETS,163,105.95000000000002,8
ASSORTED CIRCULAR MOBILE,645,121.04999999999998,19
ASSORTED COLOUR BIRD ORNAMENT,35362,56580.34,1375
ASSORTED COLOUR LIZARD SUCTION HOOK,975,385.02,54
ASSORTED COLOUR METAL CAT ,115,143.75,25
ASSORTED COLOUR MINI CASES,1719,12123.41,365
ASSORTED COLOUR SILK GLASSES CASE,3,6.300000000000001,1
ASSORTED COLOUR SUCTION CUP HOOK,202,38.38,13
ASSORTED COLOUR T-LIGHT HOLDER,3361,1990.97,87
ASSORTED COLOURED CIRCLE MOBILE ,65,27.3,7
ASSORTED COLOURS SILK FAN,21876,16044.44,324
ASSORTED CREEPY CRAWLIES,2599,1093.63,88
ASSORTED EASTER DECORATIONS  BELLS,564,650.28,22
ASSORTED EASTER GIFT TAGS,1156,945.16,58
ASSORTED FARMYARD ANIMALS IN BUCKET,86,68.06,6
"ASSORTED FLOWER COLOUR ""LEIS""",10297,4871.45,103
ASSORTED INCENSE PACK,4032,760.3199999999999,27
ASSORTED LAQUERED INCENSE HOLDERS,2516,443.76000000000005,13
ASSORTED MINI MADRAS NOTEBOOK,948,462.6,23
ASSORTED MONKEY SUCTION CUP HOOK,555,220.14000000000001,42
ASSORTED SANSKRIT MINI NOTEBOOK,109,136.25,6
ASSORTED SHAPES PHOTO CLIP SILVER ,359,167.10999999999999,11
ASSORTED TUTTI FRUTTI  FOB NOTEBOOK,541,447.36999999999995,46
ASSORTED TUTTI FRUTTI BRACELET,2197,440.89000000000004,61
ASSORTED TUTTI FRUTTI HEART BOX,215,268.75,32
ASSORTED TUTTI FRUTTI KEYRING BALL,1102,367.97999999999996,23
ASSORTED TUTTI FRUTTI LARGE PURSE,117,245.70000000000002,24
ASSORTED TUTTI FRUTTI MIRROR,490,594.26,31
ASSORTED TUTTI FRUTTI NOTEBOOK,235,493.50000000000006,31
ASSORTED TUTTI FRUTTI PEN,2452,801.2399999999999,90
ASSORTED TUTTI FRUTTI SMALL PURSE,654,790.14,31
ASSTD COL BUTTERFLY/CRYSTAL W/CHIME,455,210.19,9
ASSTD DESIGN 3D PAPER STICKERS,1162,389.38,30
ASSTD DESIGN RACING CAR PEN,1252,1953.0,62
ASSTD FRUIT+FLOWERS FRIDGE MAGNETS,2244,545.1600000000001,62
ASSTD MULTICOLOUR CIRCLES MUG,1375,548.37,45
ASSTD RASTA KEY-CHAINS,9,3.7800000000000002,3
BABUSHKA LIGHTS STRING OF 10,467,3032.39,116
BABY BOOM RIBBONS ,374,467.5,85
BABY MOUSE RED GINGHAM DRESS,73,310.25,20
BAG 125g SWIRLY MARBLES,9272,3431.35,243
BAG 250g SWIRLY MARBLES,5004,3856.3799999999997,197
BAG 500g SWIRLY MARBLES,1377,1299.2099999999998,110
BAG OF SILVER STONES,46,19.32,5
BAKING MOULD CHOCOLATE CUP CAKES,12,30.599999999999998,2
BAKING MOULD CHOCOLATE CUPCAKES,917,2363.99,133
BAKING MOULD CUPCAKE CHOCOLATE,12,30.599999999999998,1
BAKING MOULD EASTER EGG MILK CHOC,876,2272.2000000000003,91
BAKING MOULD EASTER EGG WHITE CHOC,560,1527.2,69
BAKING MOULD HEART MILK CHOCOLATE,1041,2515.67,145
BAKING MOULD HEART WHITE CHOCOLATE,794,1878.61,110
BAKING MOULD ROSE MILK CHOCOLATE,673,1964.25,52
BAKING MOULD ROSE WHITE CHOCOLATE,258,766.88,33
BAKING MOULD TOFFEE CUP  CHOCOLATE,6,15.299999999999999,1
BAKING MOULD TOFFEE CUP CHOCOLATE,866,1935.6000000000001,63
BAKING SET 9 PIECE RETROSPOT ,4797,23007.55,854
BAKING SET SPACEBOY DESIGN,2153,10210.890000000001,424
BALLOON ART MAKE YOUR OWN FLOWERS,900,825.24,68
BALLOON PUMP WITH 10 BALLOONS,779,1521.23,112
BALLOON WATER BOMB PACK OF 35,5897,2254.14,138
BALLOONS  WRITING SET ,760,1262.1999999999998,187
BANK ACCOUNT  GREETING  CARD ,265,106.97999999999999,17
BANQUET BIRTHDAY  CARD  ,1572,647.28,100
BAROQUE BUTTERFLY EARRINGS BLACK,2,7.5,2
BAROQUE BUTTERFLY EARRINGS CRYSTAL,1,3.75,1
BASKET OF FLOWERS SEWING KIT,775,600.61,42
BASKET OF TOADSTOOLS,1322,1574.98,77
BATH BUILDING BLOCK WORD,792,4727.83,242
BATHROOM HOOK,140,137.76,21
BATHROOM METAL SIGN,5505,3018.05,383
BATHROOM METAL SIGN ,424,566.8,60
