recency,frequency,monetary,R_score,F_score,M_score,RFM,Segment
326,1,77183.6,1,1,5,115,Others
2,7,4310.0,5,5,5,555,Champions
75,4,1797.24,2,4,4,244,Others
19,1,1757.55,4,1,4,414,Others
310,1,334.4,1,1,2,112,Others
36,8,2506.04,3,5,5,355,Big Spenders
204,1,89.0,1,1,1,111,Lost
232,1,1079.4,1,1,4,114,Others
214,1,459.4,1,1,2,112,Others
23,3,2811.43,4,3,5,435,Others
33,1,6207.67,4,1,5,415,Others
2,2,1168.06,5,2,4,524,Recent
58,4,6372.58,3,4,5,345,Others
52,3,2662.06,3,3,5,335,Others
287,1,189.9,1,1,1,111,Lost
3,10,5226.23,5,5,5,555,Champions
110,2,552.0,2,2,3,223,Others
8,4,1313.1,5,4,4,544,Recent
291,2,641.38,1,2,3,123,Others
4,1,168.9,5,1,1,511,Recent
51,4,3545.69,3,4,5,345,Others
45,2,1887.96,3,2,4,324,Others
72,3,1298.04,3,3,4,334,Others
311,1,364.6,1,1,2,112,Others
25,1,742.9300000000001,4,1,3,413,Others
11,2,457.5,5,2,2,522,Recent
315,2,1628.12,1,2,4,124,Others
130,1,4008.62,2,1,5,215,Others
82,2,852.24,2,2,3,223,Others
22,4,2724.81,4,4,5,445,Others
5,5,1845.31,5,4,4,544,Recent
185,5,1850.56,1,4,4,144,Others
29,2,585.27,4,2,3,423,Others
338,2,401.9,1,2,2,122,Others
16,6,2780.66,4,4,5,445,Others
80,1,549.84,2,1,3,213,Others
22,1,460.89,4,1,2,412,Others
72,4,1582.6000000000001,3,4,4,344,Others
64,2,1272.48,3,2,4,324,Others
19,12,3018.63,4,5,5,455,Big Spenders
36,2,2409.9,3,2,5,325,Others
46,1,1635.6599999999999,3,1,4,314,Others
119,4,1108.65,2,4,4,244,Others
303,1,84.3,1,1,1,111,Lost
323,1,225.6,1,1,1,111,Lost
50,1,427.7,3,1,2,312,Others
149,1,1710.39,2,1,4,214,Others
22,2,3415.3,4,2,5,425,Others
50,5,1708.1200000000001,3,4,4,344,Others
33,5,2888.55,4,4,5,445,Others
79,3,11072.67,2,3,5,235,Others
309,2,693.3299999999999,1,2,3,123,Others
75,3,1226.88,2,3,4,234,Others
67,3,758.1,3,3,3,333,Others
217,3,562.41,1,3,3,133,Others
24,21,124914.53,4,5,5,455,Big Spenders
3,9,3649.1,5,5,5,555,Champions
113,1,668.58,2,1,3,213,Others
64,1,600.39,3,1,3,313,Others
16,4,807.04,4,4,3,443,Others
96,3,803.5600000000001,2,3,3,233,Others
1,8,1859.31,5,5,4,554,Loyal
163,2,1760.96,2,2,4,224,Others
78,1,777.2,2,1,3,213,Others
195,1,582.73,1,1,3,113,Others
22,3,825.8,4,3,3,433,Others
26,9,7956.46,4,5,5,455,Big Spenders
9,4,3750.4,5,4,5,545,Recent
43,1,256.4,3,1,2,312,Others
36,15,6487.45,3,5,5,355,Big Spenders
43,5,5059.32,3,4,5,345,Others
1,7,13375.87,5,5,5,555,Champions
85,2,806.14,2,2,3,223,Others
80,2,7829.89,2,2,5,225,Others
100,1,509.01,2,1,3,213,Others
2,18,4951.41,5,5,5,555,Champions
14,2,2906.85,4,2,5,425,Others
367,1,173.55,1,1,1,111,Lost
3,1,172.06,5,1,1,511,Recent
21,5,5005.46,4,4,5,445,Others
22,1,133.4,4,1,1,411,Others
58,1,1002.3100000000001,3,1,4,314,Others
243,1,476.49,1,1,2,112,Others
44,1,449.45,3,1,2,312,Others
22,4,4067.29,4,4,5,445,Others
156,2,197.88,2,2,1,221,Others
11,5,9035.52,5,4,5,545,Recent
17,2,430.57,4,2,2,422,Others
134,1,707.09,2,1,3,213,Others
56,1,3528.34,3,1,5,315,Others
73,6,2466.86,2,4,5,245,Others
44,3,3181.04,3,3,5,335,Others
66,7,2363.23,3,5,5,355,Big Spenders
71,2,947.4,3,2,4,324,Others
94,2,826.88,2,2,3,223,Others
19,2,1189.59,4,2,4,424,Others
53,4,1344.78,3,4,4,344,Others
10,8,1212.05,5,5,4,554,Loyal
17,2,742.1899999999999,4,2,3,423,Others
188,2,729.5400000000001,1,2,3,123,Others
2,30,19824.05,5,5,5,555,Champions
32,7,6572.11,4,5,5,455,Big Spenders
29,5,3938.5499999999997,4,4,5,445,Others
17,18,7375.79,4,5,5,455,Big Spenders
54,1,723.38,3,1,3,313,Others
16,11,6816.42,4,5,5,455,Big Spenders
23,6,13219.74,4,4,5,445,Others
4,1,680.99,5,1,3,513,Recent
11,1,527.2,5,1,3,513,Recent
28,4,3281.63,4,4,5,445,Others
23,10,5596.32,4,5,5,455,Big Spenders
17,8,2484.98,4,5,5,455,Big Spenders
33,6,4541.72,4,4,5,445,Others
10,3,1298.66,5,3,4,534,Recent
336,1,334.93,1,1,2,112,Others
5,10,5417.93,5,5,5,555,Champions
39,1,460.40000000000003,3,1,2,312,Others
63,2,263.21000000000004,3,2,2,322,Others
166,2,433.74,2,2,2,222,Others
16,7,1246.1000000000001,4,5,4,454,Others
82,1,1043.1,2,1,4,214,Others
21,3,403.70000000000005,4,3,2,432,Others
23,11,4257.82,4,5,5,455,Big Spenders
337,1,2169.39,1,1,5,115,Others
96,5,3723.87,2,4,5,245,Others
18,2,482.04999999999995,4,2,2,422,Others
233,1,73.5,1,1,1,111,Lost
134,3,1304.81,2,3,4,234,Others
26,2,398.27,4,2,2,422,Others
284,1,176.5,1,1,1,111,Lost
